year,strip_group,location,strip,event_id,sensor_col,depth_index,depth_inches,logger_position,irrigation_start,irrigation_end,gallons_group,gallons_strip,event_duration_hours,avg_flow_gph_strip,baseline_vwc,peak_vwc,peak_increase,plateau_vwc,plateau_method,bottom_response_delay_hr,time_to_peak_hours,time_to_plateau_hours,lag_after_irrigation_hr,profile_baseline_storage_gal,profile_plateau_storage_gal,event_storage_gal,efficiency_strip,estimated_loss_gal_strip
2023.00,S3_S4,east,S3,2023-06-02_S3_S4_e824e1bc,VWC_2_raw_S3_B,2,12.00,B,2023-06-02 15:43:00,2023-06-02 22:12:00,67500.00,33750.00,6.48,5205.66,16.85,31.24,14.39,30.22,flat_segment,7.03,7.03,9.53,3.05,8569.67,14964.49,6394.81,0.19,27355.19
2023.00,S3_S4,east,S3,2023-06-02_S3_S4_e824e1bc,VWC_3_raw_S3_B,3,18.00,B,2023-06-02 15:43:00,2023-06-02 22:12:00,67500.00,33750.00,6.48,5205.66,10.27,23.15,12.88,19.02,flat_segment,5.28,5.28,18.78,12.30,8569.67,14964.49,6394.81,0.19,27355.19
2023.00,S3_S4,east,S3,2023-06-14_S3_S4_71ac748b,VWC_1_raw_S3_B,1,6.00,B,2023-06-14 08:25:00,2023-06-14 17:29:00,128200.00,64100.00,9.07,7069.85,16.81,37.14,20.33,37.06,flat_segment,8.58,8.58,8.83,-0.23,8947.73,17106.13,8158.41,0.13,55941.59
2023.00,S3_S4,east,S3,2023-06-14_S3_S4_71ac748b,VWC_2_raw_S3_B,2,12.00,B,2023-06-14 08:25:00,2023-06-14 17:29:00,128200.00,64100.00,9.07,7069.85,19.72,35.12,15.40,33.13,flat_segment,9.58,9.58,15.33,6.27,8947.73,17106.13,8158.41,0.13,55941.59
2023.00,S3_S4,east,S3,2023-06-14_S3_S4_71ac748b,VWC_3_raw_S3_B,3,18.00,B,2023-06-14 08:25:00,2023-06-14 17:29:00,128200.00,64100.00,9.07,7069.85,12.91,28.39,15.48,24.34,fallback_window,9.58,9.58,13.58,4.52,8947.73,17106.13,8158.41,0.13,55941.59
2023.00,S3_S4,east,S3,2023-06-27_S3_S4_87f629e2,VWC_1_raw_S3_B,1,6.00,B,2023-06-27 07:53:00,2023-06-27 16:14:00,135700.00,67850.00,8.35,8125.75,12.01,36.54,24.53,33.09,flat_segment,8.62,8.62,19.87,11.52,7744.07,16200.36,8456.29,0.12,59393.71
2023.00,S3_S4,east,S3,2023-06-27_S3_S4_87f629e2,VWC_2_raw_S3_B,2,12.00,B,2023-06-27 07:53:00,2023-06-27 16:14:00,135700.00,67850.00,8.35,8125.75,17.04,34.80,17.77,32.32,flat_segment,8.87,8.87,14.12,5.77,7744.07,16200.36,8456.29,0.12,59393.71
2023.00,S3_S4,east,S3,2023-06-27_S3_S4_87f629e2,VWC_3_raw_S3_B,3,18.00,B,2023-06-27 07:53:00,2023-06-27 16:14:00,135700.00,67850.00,8.35,8125.75,13.75,29.08,15.34,24.11,fallback_window,8.87,8.87,12.87,4.52,7744.07,16200.36,8456.29,0.12,59393.71
2023.00,S3_S4,east,S3,2023-07-07_S3_S4_bf19b251,VWC_1_raw_S3_B,1,6.00,B,2023-07-07 07:46:00,2023-07-07 15:46:00,128500.00,64250.00,8.00,8031.25,13.14,35.98,22.84,32.22,flat_segment,8.48,8.48,21.48,13.48,8053.08,17169.48,9116.40,0.14,55133.60
2023.00,S3_S4,east,S3,2023-07-07_S3_S4_bf19b251,VWC_2_raw_S3_B,2,12.00,B,2023-07-07 07:46:00,2023-07-07 15:46:00,128500.00,64250.00,8.00,8031.25,17.29,33.94,16.65,31.45,flat_segment,8.48,8.48,13.73,5.73,8053.08,17169.48,9116.40,0.14,55133.60
2023.00,S3_S4,east,S3,2023-07-07_S3_S4_bf19b251,VWC_3_raw_S3_B,3,18.00,B,2023-07-07 07:46:00,2023-07-07 15:46:00,128500.00,64250.00,8.00,8031.25,14.07,32.77,18.70,31.21,flat_segment,3.73,3.73,6.48,-1.52,8053.08,17169.48,9116.40,0.14,55133.60
2023.00,S3_S4,east,S3,2023-07-17_S3_S4_a04fe807,VWC_1_raw_S3_B,1,6.00,B,2023-07-17 19:19:00,2023-07-18 05:53:00,160900.00,80450.00,10.57,7613.56,10.76,36.99,26.24,34.92,fallback_window,11.18,11.18,15.18,4.62,5784.30,16098.47,10314.17,0.13,70135.83
2023.00,S3_S4,east,S3,2023-07-17_S3_S4_a04fe807,VWC_2_raw_S3_B,2,12.00,B,2023-07-17 19:19:00,2023-07-18 05:53:00,160900.00,80450.00,10.57,7613.56,11.01,35.06,24.04,30.35,flat_segment,10.93,10.93,24.93,14.37,5784.30,16098.47,10314.17,0.13,70135.83
2023.00,S3_S4,east,S3,2023-07-17_S3_S4_a04fe807,VWC_3_raw_S3_B,3,18.00,B,2023-07-17 19:19:00,2023-07-18 05:53:00,160900.00,80450.00,10.57,7613.56,10.20,28.02,17.82,23.68,fallback_window,11.18,11.18,15.18,4.62,5784.30,16098.47,10314.17,0.13,70135.83
2023.00,S3_S4,east,S3,2023-07-27_S3_S4_89a0fecc,VWC_1_raw_S3_B,1,6.00,B,2023-07-27 10:00:00,2023-07-27 17:29:00,50400.00,25200.00,7.48,3367.48,13.12,35.85,22.73,32.01,flat_segment,8.50,8.50,20.25,12.77,8022.22,15717.16,7694.93,0.31,17505.07
2023.00,S3_S4,east,S3,2023-07-27_S3_S4_89a0fecc,VWC_2_raw_S3_B,2,12.00,B,2023-07-27 10:00:00,2023-07-27 17:29:00,50400.00,25200.00,7.48,3367.48,17.14,33.52,16.38,31.00,flat_segment,8.25,8.25,13.75,6.27,8022.22,15717.16,7694.93,0.31,17505.07
2023.00,S3_S4,east,S3,2023-07-27_S3_S4_89a0fecc,VWC_3_raw_S3_B,3,18.00,B,2023-07-27 10:00:00,2023-07-27 17:29:00,50400.00,25200.00,7.48,3367.48,14.07,27.60,13.53,23.84,fallback_window,8.25,8.25,12.25,4.77,8022.22,15717.16,7694.93,0.31,17505.07
2023.00,S3_S4,east,S3,2023-08-05_S3_S4_0f92146d,VWC_1_raw_S3_B,1,6.00,B,2023-08-05 08:51:00,2023-08-05 11:03:00,36600.00,18300.00,2.20,8318.18,20.08,34.90,14.82,29.19,flat_segment,2.65,2.65,12.15,9.95,10996.81,14546.53,3549.72,0.19,14750.28
