capacity_source,event_id,year,pair,strip,treatment,logger_position,represented_depth_count,profile_water_in,minimum_depth_vwc,maximum_depth_vwc
irrigation,2025-05-02_S3_S4_3cb33cbf,2025.0,S3_S4,S4,control,B,3,6.4536,34.46,38.22
irrigation,2025-05-02_S3_S4_3cb33cbf,2025.0,S3_S4,S4,control,M,3,5.3652,27.29,32.83
irrigation,2025-05-02_S3_S4_3cb33cbf,2025.0,S3_S4,S4,control,T,3,6.2628,34.07,35.29
irrigation,2025-05-16_S1_S2_799859ac,2025.0,S1_S2,S1,biochar,B,3,5.6418,29.55,32.42
irrigation,2025-05-16_S1_S2_799859ac,2025.0,S1_S2,S1,biochar,M,3,6.5706,35.36,38.6
irrigation,2025-05-16_S1_S2_799859ac,2025.0,S1_S2,S1,biochar,T,3,7.408799999999999,41.01,41.43
irrigation,2025-05-16_S1_S2_799859ac,2025.0,S1_S2,S2,control,B,3,6.686399999999999,33.4,40.32
irrigation,2025-05-16_S1_S2_799859ac,2025.0,S1_S2,S2,control,M,3,6.5892,34.07,38.74
irrigation,2025-05-28_S1_S2_ca363c43,2025.0,S1_S2,S1,biochar,B,3,6.0252,29.98,37.95
irrigation,2025-05-28_S1_S2_ca363c43,2025.0,S1_S2,S1,biochar,M,3,6.762,35.36,41.62
irrigation,2025-05-28_S1_S2_ca363c43,2025.0,S1_S2,S1,biochar,T,3,7.1238,37.83,41.51
irrigation,2025-05-28_S1_S2_ca363c43,2025.0,S1_S2,S2,control,B,3,6.4332,31.87,40.57
irrigation,2025-05-28_S1_S2_ca363c43,2025.0,S1_S2,S2,control,M,3,7.238999999999999,35.73,45.63
irrigation,2025-05-28_S3_S4_120d46ab,2025.0,S3_S4,S4,control,T,3,6.3534,35.02,35.68
irrigation,2025-06-13_S3_S4_29345c78,2025.0,S3_S4,S3,biochar,B,3,6.5838,35.55,37.13
irrigation,2025-06-13_S3_S4_29345c78,2025.0,S3_S4,S3,biochar,T,3,7.1508,35.78,42.34
irrigation,2025-06-13_S3_S4_29345c78,2025.0,S3_S4,S4,control,B,3,7.3145999999999995,38.25,41.98
irrigation,2025-06-13_S3_S4_29345c78,2025.0,S3_S4,S4,control,M,3,5.7438,28.95,36.11
irrigation,2025-06-13_S3_S4_29345c78,2025.0,S3_S4,S4,control,T,3,7.022399999999999,35.89,41.85
irrigation,2025-06-27_S1_S2_ff537961,2025.0,S1_S2,S1,biochar,M,3,7.3824,39.43,41.98
irrigation,2025-06-27_S1_S2_ff537961,2025.0,S1_S2,S1,biochar,T,3,7.827,42.01,45.84
irrigation,2025-06-27_S1_S2_ff537961,2025.0,S1_S2,S2,control,B,3,7.0362,35.3,42.4
irrigation,2025-06-27_S1_S2_ff537961,2025.0,S1_S2,S2,control,M,3,7.83,41.48,46.99
irrigation,2025-06-28_S3_S4_d9252a87,2025.0,S3_S4,S3,biochar,T,3,6.994199999999999,35.08,40.85
irrigation,2025-06-28_S3_S4_d9252a87,2025.0,S3_S4,S4,control,M,3,6.461399999999999,34.12,37.64
irrigation,2025-06-28_S3_S4_d9252a87,2025.0,S3_S4,S4,control,T,3,6.912599999999999,36.08,41.01
irrigation,2025-07-11_S3_S4_e179d57e,2025.0,S3_S4,S3,biochar,B,3,6.614999999999999,36.04,37.38
irrigation,2025-07-11_S3_S4_e179d57e,2025.0,S3_S4,S3,biochar,T,3,7.1946,35.31,43.72
irrigation,2025-07-11_S3_S4_e179d57e,2025.0,S3_S4,S4,control,B,3,7.3998,39.17,43.3
irrigation,2025-07-11_S3_S4_e179d57e,2025.0,S3_S4,S4,control,M,3,6.7374,36.46,38.2
irrigation,2025-07-11_S3_S4_e179d57e,2025.0,S3_S4,S4,control,T,3,6.528600000000001,34.84,37.66
irrigation,2025-07-26_S1_S2_98e2053f,2025.0,S1_S2,S1,biochar,B,3,5.6742,28.23,35.53
irrigation,2025-07-26_S1_S2_98e2053f,2025.0,S1_S2,S1,biochar,M,3,6.6468,35.03,39.36
irrigation,2025-07-26_S1_S2_98e2053f,2025.0,S1_S2,S1,biochar,T,3,7.6248000000000005,40.43,44.48
irrigation,2025-07-26_S1_S2_98e2053f,2025.0,S1_S2,S2,control,B,3,6.5472,30.76,39.66
irrigation,2025-07-26_S1_S2_98e2053f,2025.0,S1_S2,S2,control,M,3,6.943199999999999,35.9,40.28
irrigation,2025-07-26_S3_S4_b4053dcf,2025.0,S3_S4,S3,biochar,B,3,5.825399999999999,31.06,34.62
irrigation,2025-07-26_S3_S4_b4053dcf,2025.0,S3_S4,S3,biochar,T,3,6.9894,34.99,40.89
irrigation,2025-07-26_S3_S4_b4053dcf,2025.0,S3_S4,S4,control,B,3,7.3542000000000005,38.35,43.77
irrigation,2025-07-26_S3_S4_b4053dcf,2025.0,S3_S4,S4,control,M,3,5.4276,26.2,33.66
irrigation,2025-07-26_S3_S4_b4053dcf,2025.0,S3_S4,S4,control,T,3,6.444,35.37,36.51
irrigation,2025-08-08_S3_S4_7c793582,2025.0,S3_S4,S3,biochar,B,3,5.7216000000000005,28.85,34.16
irrigation,2025-08-08_S3_S4_7c793582,2025.0,S3_S4,S4,control,B,3,6.8694,35.98,39.29
irrigation,2025-08-08_S3_S4_7c793582,2025.0,S3_S4,S4,control,M,3,5.7372000000000005,29.32,34.38
irrigation,2025-08-08_S3_S4_7c793582,2025.0,S3_S4,S4,control,T,3,6.367800000000001,34.84,36.09
irrigation,2025-08-22_S1_S2_9f8675d7,2025.0,S1_S2,S1,biochar,B,3,4.869,14.5,33.68
irrigation,2025-08-22_S1_S2_9f8675d7,2025.0,S1_S2,S1,biochar,M,3,6.4758,33.9,38.48
irrigation,2025-08-22_S1_S2_9f8675d7,2025.0,S1_S2,S1,biochar,T,3,7.0992,36.92,41.29
irrigation,2025-08-22_S1_S2_9f8675d7,2025.0,S1_S2,S2,control,B,3,5.784599999999999,29.65,35.26
irrigation,2025-08-22_S1_S2_9f8675d7,2025.0,S1_S2,S2,control,M,3,6.948,37.83,39.1
irrigation,2025-08-22_S3_S4_1b405e4b,2025.0,S3_S4,S3,biochar,B,3,4.7298,21.41,30.75
irrigation,2025-08-22_S3_S4_1b405e4b,2025.0,S3_S4,S3,biochar,T,3,6.4878,25.04,43.01
irrigation,2025-08-22_S3_S4_1b405e4b,2025.0,S3_S4,S4,control,M,3,5.1894,26.55,32.6
