capacity_source,capacity_vwc,capacity_timestamp,event_id,year,strip,treatment,pair,logger_position,depth_index,depth_inches,sensor_col
precipitation,30.54,2025-07-03 19:15:00.000000000,precip_20250703_1730_20250703_1915,2025.0,S3,biochar,S3_S4,B,1,6.0,VWC_1_raw_S3_B
precipitation,31.32,2025-07-03 19:15:00.000000000,precip_20250703_1730_20250703_1915,2025.0,S3,biochar,S3_S4,B,2,12.0,VWC_2_raw_S3_B
precipitation,29.63,2025-07-03 19:15:00.000000000,precip_20250703_1730_20250703_1915,2025.0,S3,biochar,S3_S4,B,3,18.0,VWC_3_raw_S3_B
precipitation,34.52,2025-07-03 19:15:00.000000000,precip_20250703_1730_20250703_1915,2025.0,S4,control,S3_S4,T,3,18.0,VWC_3_raw_S4_T
precipitation,30.8,2025-07-03 19:15:00.000000000,precip_20250703_1730_20250703_1915,2025.0,S4,control,S3_S4,M,1,6.0,VWC_1_raw_S4_M
precipitation,29.42,2025-07-03 19:15:00.000000000,precip_20250703_1730_20250703_1915,2025.0,S4,control,S3_S4,M,2,12.0,VWC_2_raw_S4_M
precipitation,33.67,2025-07-03 19:15:00.000000000,precip_20250703_1730_20250703_1915,2025.0,S4,control,S3_S4,M,3,18.0,VWC_3_raw_S4_M
precipitation,39.36,2025-07-03 19:15:00.000000000,precip_20250703_1730_20250703_1915,2025.0,S4,control,S3_S4,B,1,6.0,VWC_1_raw_S4_B
precipitation,36.42,2025-07-03 19:15:00.000000000,precip_20250703_1730_20250703_1915,2025.0,S4,control,S3_S4,B,2,12.0,VWC_2_raw_S4_B
precipitation,33.35,2025-08-02 03:45:00.000000000,precip_20250731_1430_20250802_0345,2025.0,S2,control,S1_S2,B,3,18.0,VWC_3_raw_S2_B
precipitation,34.93,2025-08-02 03:45:00.000000000,precip_20250731_1430_20250802_0345,2025.0,S4,control,S3_S4,B,1,6.0,VWC_1_raw_S4_B
precipitation,15.21,2025-08-26 12:30:00.000000000,precip_20250825_0630_20250826_1230,2025.0,S1,biochar,S1_S2,B,3,18.0,VWC_3_raw_S1_B
precipitation,28.68,2025-08-26 12:30:00.000000000,precip_20250825_0630_20250826_1230,2025.0,S3,biochar,S3_S4,T,2,12.0,VWC_2_raw_S3_T
precipitation,44.78,2025-08-26 12:30:00.000000000,precip_20250825_0630_20250826_1230,2025.0,S3,biochar,S3_S4,T,3,18.0,VWC_3_raw_S3_T
precipitation,27.74,2025-08-26 12:30:00.000000000,precip_20250825_0630_20250826_1230,2025.0,S4,control,S3_S4,B,1,6.0,VWC_1_raw_S4_B
precipitation,45.06,2025-09-09 18:15:00.000000000,precip_20250908_0315_20250909_1815,2025.0,S3,biochar,S3_S4,T,3,18.0,VWC_3_raw_S3_T
precipitation,29.68,2025-09-13 15:00:00.000000000,precip_20250912_1500_20250913_1500,2025.0,S1,biochar,S1_S2,T,1,6.0,VWC_1_raw_S1_T
precipitation,35.39,2025-09-13 15:00:00.000000000,precip_20250912_1500_20250913_1500,2025.0,S1,biochar,S1_S2,M,3,18.0,VWC_3_raw_S1_M
precipitation,13.52,2025-09-13 15:00:00.000000000,precip_20250912_1500_20250913_1500,2025.0,S1,biochar,S1_S2,B,3,18.0,VWC_3_raw_S1_B
