year,event_id,strip,pair,treatment,irrigation_start,irrigation_end,applied_irrigation_gal_strip,comparison_eligible,ineligibility_reason,baseline_profile_water_gal_strip,upper_retained_water_gal_strip,available_storage_gal_strip,baseline_above_upper_retained_gal_strip,applied_minus_available_storage_gal_strip,estimated_water_not_retained_gal_strip,applied_fraction_of_available_storage,irrigation_exceeds_available_storage,zone_area_method,represented_profile,interpretation
2024,2024-07-20_S1_S2_6d735351,S2,S1_S2,control,2024-07-20 08:54:00,2024-07-20 17:43:00,55550.0,False,one_or_more_baselines_missing;one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2024,2024-07-26_S3_S4_fd133a4c,S3,S3_S4,biochar,2024-07-26 19:02:00,2024-07-27 07:21:00,71850.0,False,one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2024,2024-07-26_S3_S4_fd133a4c,S4,S3_S4,control,2024-07-26 19:02:00,2024-07-27 07:21:00,71850.0,False,one_or_more_baselines_missing;one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2024,2024-08-09_S3_S4_fd100e26,S3,S3_S4,biochar,2024-08-09 08:45:00,2024-08-09 15:50:00,46900.0,False,one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2024,2024-08-09_S3_S4_fd100e26,S4,S3_S4,control,2024-08-09 08:45:00,2024-08-09 15:50:00,46900.0,False,one_or_more_baselines_missing;one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2024,2024-08-10_S1_S2_de427086,S1,S1_S2,biochar,2024-08-10 08:50:00,2024-08-10 20:38:00,84700.0,True,,40600.79,76557.57,35956.78,0.0,48743.22,48743.22,2.36,True,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2024,2024-08-10_S1_S2_de427086,S2,S1_S2,control,2024-08-10 08:50:00,2024-08-10 20:38:00,84700.0,True,,25225.05,74231.44,49006.39,0.0,35693.61,35693.61,1.73,True,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2024,2024-08-23_S3_S4_0b64e5f5,S3,S3_S4,biochar,2024-08-23 09:32:00,2024-08-23 15:04:00,30150.0,False,one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2024,2024-08-23_S3_S4_0b64e5f5,S4,S3_S4,control,2024-08-23 09:32:00,2024-08-23 15:04:00,30150.0,False,one_or_more_baselines_missing;one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2024,2024-09-06_S3_S4_9e0ce675,S3,S3_S4,biochar,2024-09-06 09:33:00,2024-09-06 16:29:00,48950.0,False,one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2024,2024-09-06_S3_S4_9e0ce675,S4,S3_S4,control,2024-09-06 09:33:00,2024-09-06 16:29:00,48950.0,False,one_or_more_baselines_missing;one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2024,2024-09-07_S1_S2_b15b9a0a,S1,S1_S2,biochar,2024-09-07 08:23:00,2024-09-07 16:16:00,53000.0,True,,44290.96,76557.57,32266.62,0.0,20733.38,20733.38,1.64,True,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2024,2024-09-07_S1_S2_b15b9a0a,S2,S1_S2,control,2024-09-07 08:23:00,2024-09-07 16:16:00,53000.0,True,,29224.42,74231.44,45007.02,0.0,7992.98,7992.98,1.18,True,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2024,2024-09-20_S3_S4_032d9e33,S3,S3_S4,biochar,2024-09-20 14:27:00,2024-09-20 17:52:00,16450.0,False,one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2024,2024-09-20_S3_S4_032d9e33,S4,S3_S4,control,2024-09-20 14:27:00,2024-09-20 17:52:00,16450.0,False,one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2024,2024-10-04_S3_S4_bf53dc9a,S3,S3_S4,biochar,2024-10-04 11:55:00,2024-10-04 18:02:00,47200.0,False,one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2024,2024-10-04_S3_S4_bf53dc9a,S4,S3_S4,control,2024-10-04 11:55:00,2024-10-04 18:02:00,47200.0,True,,30089.58,68363.11,38273.53,0.0,8926.47,8926.47,1.23,True,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2024,2024-10-18_S3_S4_e3314155,S3,S3_S4,biochar,2024-10-18 09:34:00,2024-10-18 17:17:00,53550.0,False,one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2024,2024-10-18_S3_S4_e3314155,S4,S3_S4,control,2024-10-18 09:34:00,2024-10-18 17:17:00,53550.0,False,one_or_more_baselines_missing;one_or_more_sensor_events_not_trustworthy,,,,,,,,,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
2025,2025-04-20_S1_S2_f3457ada,S1,S1_S2,biochar,2025-04-20 08:15:00,2025-04-21 06:28:00,132300.0,True,,33641.1,76557.57,42916.47,0.0,89383.53,89383.53,3.08,True,nominal_47ft_strip_by_centerline_zone_length,three 6-inch layers spanning approximately 3-21 inches,modeled water not retained; not measured runoff
