frame.number	tcp.stream	ip.src	ip.dst	tcp.payload
45	0			bdaffd00011ffd2003891b0000020000ff8100054307d918414d10993e10fc173e0b226141c6f2973e24a8c13e59945c41beeed33eb93dda3fad270541b7bffb4307dc9c414cd6253e10c26c3e0b41d641c687e43e24a5423e59b90f41bef4e03eb955713fad3f7e41b7d9294307e020414ceac63e10cea73e0adff941c627223e249e443e59df8141beff113eb92e1d3fad7b2041b7eefe4307e3a4414cc4f53e10d9243e0a835941c5a8633e2499063e59e83e41bf0c4d3eb984a13fad773141b807d04307e728414c94d23e10dca23e0a7e1b41c53b243e2495863e5a0b3141bf033f3eb98f1f3fada2e241b81f2001fe7dbd
46	0			bda0016ffd10030ffd091c00000600022c790000ff860000ffb70000fb06bd
47	0			
48	0			bdaffd00011ffd2003891c0000020000ff8600054307eaac414c94d23e10cb2a3e0a2f7541c4ba9b3e2497473e5a13ef41bef10e3eb974073fadc9c441b838b74307ee30414c537e3e102c203e09db9341c45fa53e248e8a3e5a416041bed8ec3eb9c54b3fade6d341b84e9c4307f1b4414c00f83e102fa03e09c4db41c3e9be3e2493c93e5a176f41bee4a33eb9c1cb3fae0e2441b853124307f538414c45bcdd3e103f5b3e093c8b41c3621c3e248e8a3e5a4bdc41beca8e3eb9b66f3fae1f6641b85e624307f8bcdc414c4c9d3e1048173e08fda041c2fc9e3e24a0043e59acd341bec8a03eb9ed7b3fae3bcd41b87ebf017e4fbd
49	0			bda0016ffd10030ffd091d00000600022c790000ff8b0000ffb70000b062bd
50	0			
51	0			bdaffd00011ffd2003891d0000020000ff8b00054307fc40414c04683e104f153e08dfea41c267653e249e453e59cc4941beb07c3eba0b313fae5cca41b879194307ffc4414bf3373e0fc5053e08b0bb41c209313e2497473e5a1cad41be8b823eba05143fae635941b88b8a43080348414c190a3e0f95d53e08605641c18caf3e248cca3e5a60d441be85113eba03543fae693e41b89972430806cc414c07d83e0fa2123e080ff341c118f13e249c863e59dc0341be5cb13eba45be3fae9c5d41b8b49443080a50414bf6a73e0fa2113e07f93b41c09a423e2495873e5a2fe641be3f363eba44de3faebff641b8a22101f5b5bd
52	0			bda0016ffd10030ffd091e00000600022c790000ff900000ffb7000041a4bd
53	0			
54	0			bdaffd00011ffd2003891e0000020000ff90000543080dd4414bd7b63e0fb38c3e07afd341c01f5d3e249e453e59ca8941be1c193eba39813faece2b41b8ab8643081158414bde963e0fb54b3e07746941bfa0043e249c853e59ddc241be04af3eba44dd3faed47f41b8a88a430814dc414bb1e33e0f94163e0754f441bf351d3e2499063e59e67e41bcddea3e3ebaadba3faedefc41b8ae8f43081860414c00f83e0f06853e06bcdce841be92ab3e24a1c43e59bacf41bcddab323eba9d1f3faef57d41b8bf8943081be4414b9d423e0f0a043e06b7ab41be3e113e24a0043e59cfc641bcdd8fab3eba91c33faf073041b8c6ac01f3cabd
