logger_tag,year,file_path,file_kind,kind,severity,start,end,details,min_v,max_v,gap_minutes,voltage_col,plot_path
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-28 19:45:00,2023-06-29 08:00:00,S3M_Table1.dat,,,735.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-29 19:30:00,2023-06-30 08:00:00,S3M_Table1.dat,,,750.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-06-30 19:30:00,2023-07-01 08:00:00,S3M_Table1.dat,,,750.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-01 20:00:00,2023-07-02 08:00:00,S3M_Table1.dat,,,720.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-02 19:15:00,2023-07-03 08:00:00,S3M_Table1.dat,,,765.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-03 19:15:00,2023-07-04 07:45:00,S3M_Table1.dat,,,750.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-04 20:00:00,2023-07-05 08:00:00,S3M_Table1.dat,,,720.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-05 20:00:00,2023-07-06 08:00:00,S3M_Table1.dat,,,720.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-06 20:00:00,2023-07-07 08:00:00,S3M_Table1.dat,,,720.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-07 20:00:00,2023-07-08 08:00:00,S3M_Table1.dat,,,720.0,,
