logger_tag,year,file,file_row_idx,prev_time,time,gap_min,event_type,event_class
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,2439,2023-06-29 19:30:00,2023-06-30 08:00:00,750.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,2486,2023-06-30 19:30:00,2023-07-01 08:00:00,750.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,2535,2023-07-01 20:00:00,2023-07-02 08:00:00,720.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,2581,2023-07-02 19:15:00,2023-07-03 08:00:00,765.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,2627,2023-07-03 19:15:00,2023-07-04 07:45:00,750.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,2677,2023-07-04 20:00:00,2023-07-05 08:00:00,720.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,2726,2023-07-05 20:00:00,2023-07-06 08:00:00,720.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,2775,2023-07-06 20:00:00,2023-07-07 08:00:00,720.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,2824,2023-07-07 20:00:00,2023-07-08 08:00:00,720.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,2873,2023-07-08 20:00:00,2023-07-09 08:00:00,720.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,2921,2023-07-09 19:45:00,2023-07-10 08:00:00,735.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,2971,2023-07-10 20:15:00,2023-07-11 08:00:00,705.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,3020,2023-07-11 20:00:00,2023-07-12 08:00:00,720.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,3069,2023-07-12 20:00:00,2023-07-13 08:00:00,720.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,3114,2023-07-13 19:00:00,2023-07-14 08:00:00,780.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,3163,2023-07-14 20:00:00,2023-07-15 08:00:00,720.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,3211,2023-07-15 19:45:00,2023-07-16 08:00:00,735.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,3259,2023-07-16 19:45:00,2023-07-17 08:00:00,735.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,3307,2023-07-17 19:45:00,2023-07-18 07:45:00,720.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,3355,2023-07-18 19:30:00,2023-07-19 08:00:00,750.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,3403,2023-07-19 19:45:00,2023-07-20 08:00:00,735.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,3451,2023-07-20 19:45:00,2023-07-21 08:00:00,735.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,3499,2023-07-21 19:45:00,2023-07-22 08:00:00,735.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,3547,2023-07-22 19:45:00,2023-07-23 08:00:00,735.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,3596,2023-07-23 20:00:00,2023-07-24 08:00:00,720.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,3645,2023-07-24 20:00:00,2023-07-25 08:00:00,720.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,3693,2023-07-25 19:45:00,2023-07-26 08:00:00,735.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,3740,2023-07-26 19:30:00,2023-07-27 08:00:00,750.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,3787,2023-07-27 19:30:00,2023-07-28 08:00:00,750.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,3831,2023-07-28 18:45:00,2023-07-29 08:00:00,795.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,3874,2023-07-29 18:45:00,2023-07-30 08:00:00,795.0,downtime_gap,downtime
