year,event_id,strip,logger_position,arrival_6in_min,arrival_12in_min,arrival_18in_min,arrival_order,expected_order,order_class,alt_arrival_6in_min,alt_arrival_12in_min,alt_arrival_18in_min,alt_arrival_order,alt_expected_order,alt_order_class,alt_before_start_depths,any_alt_before_start,all_alt_before_start,arrival_6in_T_min,arrival_6in_M_min,arrival_6in_B_min,arrival_6in_logger_order_class,alt_arrival_6in_T_min,alt_arrival_6in_M_min,alt_arrival_6in_B_min,alt_arrival_6in_logger_order_class,arrival_12in_T_min,arrival_12in_M_min,arrival_12in_B_min,arrival_12in_logger_order_class,alt_arrival_12in_T_min,alt_arrival_12in_M_min,alt_arrival_12in_B_min,alt_arrival_12in_logger_order_class,arrival_18in_T_min,arrival_18in_M_min,arrival_18in_B_min,arrival_18in_logger_order_class,alt_arrival_18in_T_min,alt_arrival_18in_M_min,alt_arrival_18in_B_min,alt_arrival_18in_logger_order_class,any_bottom_before_top_or_middle,any_alt_bottom_before_top_or_middle,any_all_loggers_before_start
2024,2024-07-11_S3_S4_d29231ea,S4,B,,,,none,False,missing_depths,,,,none,False,missing_depths,,False,False,149.0,329.0,,missing_loggers,149.0,329.0,,missing_loggers,149.0,359.0,,missing_loggers,149.0,359.0,,missing_loggers,149.0,374.0,,missing_loggers,149.0,374.0,,missing_loggers,False,False,False
2024,2024-07-11_S3_S4_d29231ea,S4,M,329.0,359.0,374.0,6→12→18,True,expected,329.0,359.0,374.0,6→12→18,True,expected,,False,False,149.0,329.0,,missing_loggers,149.0,329.0,,missing_loggers,149.0,359.0,,missing_loggers,149.0,359.0,,missing_loggers,149.0,374.0,,missing_loggers,149.0,374.0,,missing_loggers,False,False,False
2024,2024-07-11_S3_S4_d29231ea,S4,T,149.0,149.0,149.0,6→12→18,True,expected,149.0,149.0,149.0,6→12→18,True,expected,,False,False,149.0,329.0,,missing_loggers,149.0,329.0,,missing_loggers,149.0,359.0,,missing_loggers,149.0,359.0,,missing_loggers,149.0,374.0,,missing_loggers,149.0,374.0,,missing_loggers,False,False,False
2024,2024-07-20_S1_S2_6d735351,S1,B,396.0,531.0,636.0,6→12→18,True,expected,621.0,621.0,651.0,6→12→18,True,expected,,False,False,156.0,336.0,396.0,expected,156.0,381.0,621.0,expected,156.0,456.0,531.0,expected,156.0,471.0,621.0,expected,156.0,516.0,636.0,expected,156.0,516.0,651.0,expected,False,False,False
2024,2024-07-20_S1_S2_6d735351,S1,M,336.0,456.0,516.0,6→12→18,True,expected,381.0,471.0,516.0,6→12→18,True,expected,,False,False,156.0,336.0,396.0,expected,156.0,381.0,621.0,expected,156.0,456.0,531.0,expected,156.0,471.0,621.0,expected,156.0,516.0,636.0,expected,156.0,516.0,651.0,expected,False,False,False
2024,2024-07-20_S1_S2_6d735351,S1,T,156.0,156.0,156.0,6→12→18,True,expected,156.0,156.0,156.0,6→12→18,True,expected,,False,False,156.0,336.0,396.0,expected,156.0,381.0,621.0,expected,156.0,456.0,531.0,expected,156.0,471.0,621.0,expected,156.0,516.0,636.0,expected,156.0,516.0,651.0,expected,False,False,False
2024,2024-07-20_S1_S2_6d735351,S2,B,381.0,351.0,366.0,12→18→6,False,12_before_6,396.0,351.0,366.0,12→18→6,False,12_before_6,,False,False,21.0,141.0,381.0,expected,21.0,141.0,396.0,expected,21.0,126.0,351.0,expected,21.0,126.0,351.0,expected,,126.0,366.0,missing_loggers,51.0,126.0,366.0,expected,False,False,False
2024,2024-07-20_S1_S2_6d735351,S2,M,141.0,126.0,126.0,12→18→6,False,12_before_6,141.0,126.0,126.0,12→18→6,False,12_before_6,,False,False,21.0,141.0,381.0,expected,21.0,141.0,396.0,expected,21.0,126.0,351.0,expected,21.0,126.0,351.0,expected,,126.0,366.0,missing_loggers,51.0,126.0,366.0,expected,False,False,False
2024,2024-07-20_S1_S2_6d735351,S2,T,21.0,21.0,,6→12,False,missing_depths,21.0,21.0,51.0,6→12→18,True,expected,,False,False,21.0,141.0,381.0,expected,21.0,141.0,396.0,expected,21.0,126.0,351.0,expected,21.0,126.0,351.0,expected,,126.0,366.0,missing_loggers,51.0,126.0,366.0,expected,False,False,False
2024,2024-07-26_S3_S4_fd133a4c,S3,B,13.0,43.0,73.0,6→12→18,True,expected,-2.0,43.0,88.0,6→12→18,True,expected,6,True,False,178.0,13.0,13.0,bottom_before_top_or_middle,178.0,-32.0,-2.0,bottom_before_top_or_middle,163.0,,43.0,some_loggers_arrived_before_start,163.0,-32.0,43.0,bottom_before_top_or_middle,223.0,13.0,73.0,bottom_before_top_or_middle,238.0,-17.0,88.0,bottom_before_top_or_middle,True,True,False
2024,2024-07-26_S3_S4_fd133a4c,S3,M,13.0,,13.0,6→18,False,all_depths_arrived_before_start,-32.0,-32.0,-17.0,6→12→18,True,expected,"6,12,18",True,True,178.0,13.0,13.0,bottom_before_top_or_middle,178.0,-32.0,-2.0,bottom_before_top_or_middle,163.0,,43.0,some_loggers_arrived_before_start,163.0,-32.0,43.0,bottom_before_top_or_middle,223.0,13.0,73.0,bottom_before_top_or_middle,238.0,-17.0,88.0,bottom_before_top_or_middle,True,True,False
2024,2024-07-26_S3_S4_fd133a4c,S3,T,178.0,163.0,223.0,12→6→18,False,12_before_6,178.0,163.0,238.0,12→6→18,False,12_before_6,,False,False,178.0,13.0,13.0,bottom_before_top_or_middle,178.0,-32.0,-2.0,bottom_before_top_or_middle,163.0,,43.0,some_loggers_arrived_before_start,163.0,-32.0,43.0,bottom_before_top_or_middle,223.0,13.0,73.0,bottom_before_top_or_middle,238.0,-17.0,88.0,bottom_before_top_or_middle,True,True,False
2024,2024-07-26_S3_S4_fd133a4c,S4,B,658.0,748.0,,6→12,False,some_depths_arrived_before_start,-662.0,,,6,False,some_depths_arrived_before_start,6,True,False,163.0,403.0,658.0,expected,163.0,403.0,-662.0,bottom_before_top_or_middle,163.0,523.0,748.0,expected,163.0,523.0,,missing_loggers,163.0,613.0,,missing_loggers,163.0,613.0,,missing_loggers,False,True,False
2024,2024-07-26_S3_S4_fd133a4c,S4,M,403.0,523.0,613.0,6→12→18,True,expected,403.0,523.0,613.0,6→12→18,True,expected,,False,False,163.0,403.0,658.0,expected,163.0,403.0,-662.0,bottom_before_top_or_middle,163.0,523.0,748.0,expected,163.0,523.0,,missing_loggers,163.0,613.0,,missing_loggers,163.0,613.0,,missing_loggers,False,True,False
2024,2024-07-26_S3_S4_fd133a4c,S4,T,163.0,163.0,163.0,6→12→18,True,expected,163.0,163.0,163.0,6→12→18,True,expected,,False,False,163.0,403.0,658.0,expected,163.0,403.0,-662.0,bottom_before_top_or_middle,163.0,523.0,748.0,expected,163.0,523.0,,missing_loggers,163.0,613.0,,missing_loggers,163.0,613.0,,missing_loggers,False,True,False
2024,2024-08-09_S3_S4_fd100e26,S3,B,0.0,30.0,45.0,6→12→18,True,expected,0.0,30.0,45.0,6→12→18,True,expected,,False,False,165.0,0.0,0.0,bottom_before_top_or_middle,165.0,-15.0,0.0,bottom_before_top_or_middle,165.0,,30.0,some_loggers_arrived_before_start,165.0,-30.0,30.0,bottom_before_top_or_middle,180.0,0.0,45.0,bottom_before_top_or_middle,180.0,-15.0,45.0,bottom_before_top_or_middle,True,True,False
2024,2024-08-09_S3_S4_fd100e26,S3,M,0.0,,0.0,6→18,False,all_depths_arrived_before_start,-15.0,-30.0,-15.0,12→6→18,False,12_before_6,"6,12,18",True,True,165.0,0.0,0.0,bottom_before_top_or_middle,165.0,-15.0,0.0,bottom_before_top_or_middle,165.0,,30.0,some_loggers_arrived_before_start,165.0,-30.0,30.0,bottom_before_top_or_middle,180.0,0.0,45.0,bottom_before_top_or_middle,180.0,-15.0,45.0,bottom_before_top_or_middle,True,True,False
2024,2024-08-09_S3_S4_fd100e26,S3,T,165.0,165.0,180.0,6→12→18,True,expected,165.0,165.0,180.0,6→12→18,True,expected,,False,False,165.0,0.0,0.0,bottom_before_top_or_middle,165.0,-15.0,0.0,bottom_before_top_or_middle,165.0,,30.0,some_loggers_arrived_before_start,165.0,-30.0,30.0,bottom_before_top_or_middle,180.0,0.0,45.0,bottom_before_top_or_middle,180.0,-15.0,45.0,bottom_before_top_or_middle,True,True,False
2024,2024-08-09_S3_S4_fd100e26,S4,B,330.0,1275.0,,6→12,False,missing_depths,315.0,,,6,False,missing_depths,,False,False,165.0,390.0,330.0,bottom_before_top_or_middle,165.0,405.0,315.0,bottom_before_top_or_middle,165.0,420.0,1275.0,expected,165.0,420.0,,missing_loggers,165.0,450.0,,missing_loggers,165.0,450.0,,missing_loggers,True,True,False
2024,2024-08-09_S3_S4_fd100e26,S4,M,390.0,420.0,450.0,6→12→18,True,expected,405.0,420.0,450.0,6→12→18,True,expected,,False,False,165.0,390.0,330.0,bottom_before_top_or_middle,165.0,405.0,315.0,bottom_before_top_or_middle,165.0,420.0,1275.0,expected,165.0,420.0,,missing_loggers,165.0,450.0,,missing_loggers,165.0,450.0,,missing_loggers,True,True,False
2024,2024-08-09_S3_S4_fd100e26,S4,T,165.0,165.0,165.0,6→12→18,True,expected,165.0,165.0,165.0,6→12→18,True,expected,,False,False,165.0,390.0,330.0,bottom_before_top_or_middle,165.0,405.0,315.0,bottom_before_top_or_middle,165.0,420.0,1275.0,expected,165.0,420.0,,missing_loggers,165.0,450.0,,missing_loggers,165.0,450.0,,missing_loggers,True,True,False
