year,strip,event_id,logger_position,irrigation_start,irrigation_end,event_duration_hours,gallons_strip,avg_flow_gph_strip,alt_arrival_minutes_after_irrigation_start_6in,alt_arrival_minutes_after_irrigation_start_12in,alt_arrival_minutes_after_irrigation_start_18in,alt_arrival_vwc_6in,alt_arrival_vwc_12in,alt_arrival_vwc_18in,arrival_minutes_after_irrigation_start_6in,arrival_minutes_after_irrigation_start_12in,arrival_minutes_after_irrigation_start_18in,arrival_vwc_6in,arrival_vwc_12in,arrival_vwc_18in,peak_vwc_6in,peak_vwc_12in,peak_vwc_18in,pre_vwc_6in,pre_vwc_12in,pre_vwc_18in,pre_profile_vwc_mean,pre_profile_vwc_min,pre_profile_vwc_max,delta_vwc_6in,delta_vwc_12in,delta_vwc_18in,delta_profile_vwc_mean,first_arrival_min,last_arrival_min,vertical_spread_min,distance_from_furrow_start_ft,vertical_velocity_6_to_12_in_per_min,vertical_velocity_12_to_18_in_per_min,vertical_velocity_6_to_18_in_per_min
2024.00,S2,2024-06-01_S1_S2_ef46e32f,T,2024-06-01 18:05:00,2024-06-02 07:46:00,13.68,81250.00,5937.88,85.0,85.0,85.0,35.41,31.40,25.72,85.0,85.0,85.0,35.41,31.40,25.72,48.20,41.67,39.03,12.33,15.99,18.64,15.65,12.33,18.64,35.87,25.68,20.40,27.32,85.0,85.0,0.0,54.00,,,
2024.00,S3,2024-06-01_S3_S4_0880f850,B,2024-06-01 08:29:00,2024-06-01 17:57:00,9.47,61450.00,6491.20,106.0,121.0,136.0,21.06,24.26,16.80,106.0,121.0,136.0,21.06,24.26,16.80,34.54,32.60,27.94,17.05,21.76,12.89,17.23,12.89,21.76,17.49,10.84,15.05,14.46,106.0,136.0,30.0,284.00,0.40,0.40,0.40
2024.00,S3,2024-06-01_S3_S4_0880f850,M,2024-06-01 08:29:00,2024-06-01 17:57:00,9.47,61450.00,6491.20,556.0,556.0,571.0,19.49,21.91,21.89,556.0,556.0,571.0,19.49,21.91,21.89,43.45,35.89,38.58,14.35,19.11,20.60,18.02,14.35,20.60,29.10,16.78,17.98,21.29,556.0,571.0,15.0,169.00,,0.40,0.80
2024.00,S3,2024-06-01_S3_S4_0880f850,T,2024-06-01 08:29:00,2024-06-01 17:57:00,9.47,61450.00,6491.20,61.0,61.0,76.0,15.85,29.30,34.94,61.0,61.0,76.0,15.85,29.30,34.94,40.45,37.55,46.78,13.84,24.92,34.30,24.35,13.84,34.30,26.61,12.63,12.48,17.24,61.0,76.0,15.0,54.00,,0.40,0.80
2024.00,S4,2024-06-01_S3_S4_0880f850,M,2024-06-01 08:29:00,2024-06-01 17:57:00,9.47,61450.00,6491.20,106.0,121.0,136.0,18.40,26.98,24.88,106.0,121.0,136.0,18.40,26.98,24.88,37.45,34.60,33.39,10.65,14.82,21.42,15.63,10.65,21.42,26.81,19.79,11.97,19.52,106.0,136.0,30.0,169.00,0.40,0.40,0.40
2024.00,S4,2024-06-01_S3_S4_0880f850,T,2024-06-01 08:29:00,2024-06-01 17:57:00,9.47,61450.00,6491.20,31.0,31.0,31.0,28.38,28.99,33.00,31.0,31.0,31.0,28.38,28.99,33.00,41.61,39.28,39.06,9.36,14.85,24.44,16.22,9.36,24.44,32.24,24.43,14.62,23.77,31.0,31.0,0.0,54.00,,,
2024.00,S3,2024-06-15_S3_S4_b6aa9839,B,2024-06-15 07:29:00,2024-06-15 16:13:00,8.73,52500.00,6011.45,106.0,121.0,136.0,17.24,24.90,19.18,106.0,121.0,136.0,17.24,24.90,19.18,35.04,33.80,29.93,14.59,23.83,16.76,18.39,14.59,23.83,20.45,9.97,13.17,14.53,106.0,136.0,30.0,284.00,0.40,0.40,0.40
2024.00,S3,2024-06-15_S3_S4_b6aa9839,M,2024-06-15 07:29:00,2024-06-15 16:13:00,8.73,52500.00,6011.45,541.0,541.0,556.0,15.22,26.03,32.23,541.0,541.0,556.0,15.22,26.03,32.23,43.77,37.28,39.86,12.64,19.41,28.73,20.26,12.64,28.73,31.13,17.87,11.13,20.04,541.0,556.0,15.0,169.00,,0.40,0.80
2024.00,S3,2024-06-15_S3_S4_b6aa9839,T,2024-06-15 07:29:00,2024-06-15 16:13:00,8.73,52500.00,6011.45,46.0,61.0,76.0,14.20,29.97,35.04,46.0,46.0,61.0,14.20,24.47,34.16,41.25,37.02,46.67,13.61,24.03,33.83,23.82,13.61,33.83,27.64,12.99,12.85,17.83,46.0,61.0,15.0,54.00,,0.40,0.80
2024.00,S4,2024-06-15_S3_S4_b6aa9839,M,2024-06-15 07:29:00,2024-06-15 16:13:00,8.73,52500.00,6011.45,121.0,121.0,151.0,22.40,25.07,32.98,121.0,121.0,136.0,22.40,25.07,30.66,40.02,36.49,36.25,15.04,22.98,30.36,22.79,15.04,30.36,24.98,13.52,5.89,14.80,121.0,136.0,15.0,169.00,,0.40,0.80
