year,strip_group,location,strip,event_id,sensor_col,depth_index,depth_inches,logger_position,irrigation_start,irrigation_end,plot_start,plot_end,baseline_vwc,arrival_threshold_vwc,arrival_time,arrival_vwc,arrival_minutes_after_irrigation_start,arrival_before_irrigation_start,gallons_strip,event_duration_hours,alt_arrival_threshold_vwc,alt_arrival_time,alt_arrival_vwc,alt_arrival_step_vwc,alt_arrival_minutes_after_irrigation_start,alt_arrival_before_irrigation_start
2026,S1_S2,west,S1,2026-06-20_S1_S2_9166ff27,VWC_3_raw_S1_M,3,18,M,2026-06-20 08:00:00,2026-06-20 17:03:00,2026-06-19 20:00:00,2026-06-21 14:00:00,27.327,0.25,2026-06-20 12:30:00,28.624,270.0,False,65700.0,9.05,0.5,2026-06-20 12:30:00,28.624,1.327,270.0,False
2026,S1_S2,west,S1,2026-06-20_S1_S2_9166ff27,VWC_1_raw_S1_T,1,6,T,2026-06-20 08:00:00,2026-06-20 17:03:00,2026-06-19 20:00:00,2026-06-21 14:00:00,21.768,0.25,2026-06-20 09:45:00,35.545,105.0,False,65700.0,9.05,0.5,2026-06-20 09:45:00,35.545,13.89,105.0,False
2026,S1_S2,west,S1,2026-06-20_S1_S2_9166ff27,VWC_2_raw_S1_T,2,12,T,2026-06-20 08:00:00,2026-06-20 17:03:00,2026-06-19 20:00:00,2026-06-21 14:00:00,20.079,0.25,2026-06-20 09:45:00,29.332,105.0,False,65700.0,9.05,0.5,2026-06-20 09:45:00,29.332,9.349,105.0,False
2026,S1_S2,west,S1,2026-06-20_S1_S2_9166ff27,VWC_3_raw_S1_T,3,18,T,2026-06-20 08:00:00,2026-06-20 17:03:00,2026-06-19 20:00:00,2026-06-21 14:00:00,22.159,0.25,2026-06-20 09:45:00,22.607,105.0,False,65700.0,9.05,0.5,2026-06-20 10:00:00,23.871,1.264,120.0,False
2026,S1_S2,west,S2,2026-06-20_S1_S2_9166ff27,VWC_1_raw_S2_B,1,6,B,2026-06-20 08:00:00,2026-06-20 17:03:00,2026-06-19 20:00:00,2026-06-21 14:00:00,9.968,0.25,2026-06-20 12:00:00,10.938,240.0,False,65700.0,9.05,0.5,2026-06-20 12:00:00,10.938,0.978,240.0,False
2026,S1_S2,west,S2,2026-06-20_S1_S2_9166ff27,VWC_2_raw_S2_B,2,12,B,2026-06-20 08:00:00,2026-06-20 17:03:00,2026-06-19 20:00:00,2026-06-21 14:00:00,9.614,0.25,2026-06-20 12:00:00,10.022,240.0,False,65700.0,9.05,0.5,2026-06-20 12:00:00,10.022,0.513,240.0,False
2026,S1_S2,west,S2,2026-06-20_S1_S2_9166ff27,VWC_3_raw_S2_B,3,18,B,2026-06-20 08:00:00,2026-06-20 17:03:00,2026-06-19 20:00:00,2026-06-21 14:00:00,19.216,0.25,2026-06-20 12:15:00,27.534,255.0,False,65700.0,9.05,0.5,2026-06-20 12:15:00,27.534,8.207,255.0,False
2026,S1_S2,west,S2,2026-06-20_S1_S2_9166ff27,VWC_1_raw_S2_M,1,6,M,2026-06-20 08:00:00,2026-06-20 17:03:00,2026-06-19 20:00:00,2026-06-21 14:00:00,14.178,0.25,2026-06-20 10:30:00,23.624,150.0,False,65700.0,9.05,0.5,2026-06-20 10:30:00,23.624,9.527,150.0,False
2026,S1_S2,west,S2,2026-06-20_S1_S2_9166ff27,VWC_2_raw_S2_M,2,12,M,2026-06-20 08:00:00,2026-06-20 17:03:00,2026-06-19 20:00:00,2026-06-21 14:00:00,14.419,0.25,2026-06-20 10:15:00,17.312,135.0,False,65700.0,9.05,0.5,2026-06-20 10:15:00,17.312,2.944,135.0,False
2026,S1_S2,west,S2,2026-06-20_S1_S2_9166ff27,VWC_3_raw_S2_M,3,18,M,2026-06-20 08:00:00,2026-06-20 17:03:00,2026-06-19 20:00:00,2026-06-21 14:00:00,32.894,0.25,2026-06-20 10:15:00,36.281,135.0,False,65700.0,9.05,0.5,2026-06-20 10:15:00,36.281,3.364,135.0,False
