year,event_id,strip,logger_position,arrival_6in_min,arrival_12in_min,arrival_18in_min,arrival_order,expected_order,order_class,alt_arrival_6in_min,alt_arrival_12in_min,alt_arrival_18in_min,alt_arrival_order,alt_expected_order,alt_order_class,alt_before_start_depths,any_alt_before_start,all_alt_before_start,baseline_vwc_6in,baseline_vwc_12in,baseline_vwc_18in,elevated_18in_baseline_context,depth_profile_interpretation,arrival_6in_T_min,arrival_6in_M_min,arrival_6in_B_min,arrival_6in_logger_order_class,alt_arrival_6in_T_min,alt_arrival_6in_M_min,alt_arrival_6in_B_min,alt_arrival_6in_logger_order_class,arrival_12in_T_min,arrival_12in_M_min,arrival_12in_B_min,arrival_12in_logger_order_class,alt_arrival_12in_T_min,alt_arrival_12in_M_min,alt_arrival_12in_B_min,alt_arrival_12in_logger_order_class,arrival_18in_T_min,arrival_18in_M_min,arrival_18in_B_min,arrival_18in_logger_order_class,alt_arrival_18in_T_min,alt_arrival_18in_M_min,alt_arrival_18in_B_min,alt_arrival_18in_logger_order_class,any_bottom_before_top_or_middle,any_alt_bottom_before_top_or_middle,any_all_loggers_before_start
2026,2026-05-21_S3_S4_272f948e,S4,T,78.0,78.0,78.0,6→12→18,True,expected,78.0,78.0,78.0,6→12→18,True,expected,,False,False,17.016,23.69,31.107,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",78.0,123.0,288.0,expected,78.0,123.0,363.0,expected,78.0,123.0,,missing_loggers,78.0,123.0,,missing_loggers,78.0,138.0,108.0,bottom_before_top_or_middle,78.0,138.0,348.0,expected,True,False,False
2026,2026-06-05_S3_S4_f5beba0a,S3,B,71.0,101.0,116.0,6→12→18,True,expected,71.0,101.0,116.0,6→12→18,True,expected,,False,False,12.009,12.132,13.163,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",236.0,71.0,71.0,bottom_before_top_or_middle,281.0,71.0,71.0,bottom_before_top_or_middle,,71.0,101.0,missing_loggers,,71.0,101.0,missing_loggers,,71.0,116.0,missing_loggers,,71.0,116.0,missing_loggers,True,True,False
2026,2026-06-05_S3_S4_f5beba0a,S3,M,71.0,71.0,71.0,6→12→18,True,expected,71.0,71.0,71.0,6→12→18,True,expected,,False,False,13.794,19.815,29.389,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",236.0,71.0,71.0,bottom_before_top_or_middle,281.0,71.0,71.0,bottom_before_top_or_middle,,71.0,101.0,missing_loggers,,71.0,101.0,missing_loggers,,71.0,116.0,missing_loggers,,71.0,116.0,missing_loggers,True,True,False
2026,2026-06-05_S3_S4_f5beba0a,S3,T,236.0,,,6,False,missing_depths,281.0,,,6,False,missing_depths,,False,False,20.929,25.546,47.252,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",236.0,71.0,71.0,bottom_before_top_or_middle,281.0,71.0,71.0,bottom_before_top_or_middle,,71.0,101.0,missing_loggers,,71.0,101.0,missing_loggers,,71.0,116.0,missing_loggers,,71.0,116.0,missing_loggers,True,True,False
2026,2026-06-05_S3_S4_f5beba0a,S4,B,401.0,,266.0,18→6,False,missing_depths,461.0,,,6,False,missing_depths,,False,False,22.726,33.349,36.49,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",86.0,131.0,401.0,expected,86.0,131.0,461.0,expected,86.0,146.0,,missing_loggers,86.0,146.0,,missing_loggers,86.0,161.0,266.0,expected,86.0,161.0,,missing_loggers,False,False,False
2026,2026-06-05_S3_S4_f5beba0a,S4,M,131.0,146.0,161.0,6→12→18,True,expected,131.0,146.0,161.0,6→12→18,True,expected,,False,False,12.886,11.355,16.828,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",86.0,131.0,401.0,expected,86.0,131.0,461.0,expected,86.0,146.0,,missing_loggers,86.0,146.0,,missing_loggers,86.0,161.0,266.0,expected,86.0,161.0,,missing_loggers,False,False,False
2026,2026-06-05_S3_S4_f5beba0a,S4,T,86.0,86.0,86.0,6→12→18,True,expected,86.0,86.0,86.0,6→12→18,True,expected,,False,False,12.612,19.734,31.648,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",86.0,131.0,401.0,expected,86.0,131.0,461.0,expected,86.0,146.0,,missing_loggers,86.0,146.0,,missing_loggers,86.0,161.0,266.0,expected,86.0,161.0,,missing_loggers,False,False,False
2026,2026-06-20_S1_S2_ba82572f,S1,B,540.0,600.0,630.0,6→12→18,True,expected,585.0,600.0,660.0,6→12→18,True,expected,,False,False,15.039,11.873,8.611,False,,105.0,210.0,540.0,expected,105.0,240.0,585.0,expected,105.0,240.0,600.0,expected,105.0,240.0,600.0,expected,105.0,270.0,630.0,expected,120.0,270.0,660.0,expected,False,False,False
2026,2026-06-20_S1_S2_ba82572f,S1,M,210.0,240.0,270.0,6→12→18,True,expected,240.0,240.0,270.0,6→12→18,True,expected,,False,False,15.709,16.554,27.327,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",105.0,210.0,540.0,expected,105.0,240.0,585.0,expected,105.0,240.0,600.0,expected,105.0,240.0,600.0,expected,105.0,270.0,630.0,expected,120.0,270.0,660.0,expected,False,False,False
2026,2026-06-20_S1_S2_ba82572f,S1,T,105.0,105.0,105.0,6→12→18,True,expected,105.0,105.0,120.0,6→12→18,True,expected,,False,False,21.768,20.079,22.159,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",105.0,210.0,540.0,expected,105.0,240.0,585.0,expected,105.0,240.0,600.0,expected,105.0,240.0,600.0,expected,105.0,270.0,630.0,expected,120.0,270.0,660.0,expected,False,False,False
